event_id,timestamp,evidence_id,source_kind,source_name,proves_first_public_release,data_class
HEJFE-D1D8268651584B6A,2013-04-02T06:30:00-04:00,https://ir.mccormick.com/news-releases/news-release-details/mccormick-reports-first-quarter-financial-results-reaffirms-2013,ISSUER_PUBLIC_RELEASE,McCormick issuer release - Apr 2 2013 6:30 AM EDT,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-7ED8DBD4804E4330,2015-02-19T13:05:00-08:00,https://www.sec.gov/Archives/edgar/data/72333/000007233315000012/jwnq42014ex991.htm,ISSUER_PUBLIC_RELEASE,Nordstrom Q4 and fiscal 2014 issuer release - FOR RELEASE February 19 2015 at 1:05 PM PST,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-76DCF0FCA248E814,2012-01-26T16:03:00-05:00,https://www.prnewswire.com/news/chubb-corporation/?page=3&pagesize=25,OFFICIAL_PUBLIC_NEWSWIRE,Chubb PR Newswire archive - Jan 26 2012 04:03 ET cross-checked against after-close release and 5 PM ET call,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-D9C52E6CC595C380,2015-02-17T16:05:00-05:00,https://investor.analog.com/news-releases/news-release-details/analog-devices-reports-first-quarter-fiscal-year-2015-results,ISSUER_PUBLIC_RELEASE,Analog Devices Q1 fiscal 2015 issuer release - February 17 2015 at 4:05 PM EST,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-09EB83905864C50A,2015-05-19T16:00:00-04:00,https://investor.analog.com/news-releases/news-release-details/analog-devices-reports-second-quarter-fiscal-year-2015-results,ISSUER_PUBLIC_RELEASE,Analog Devices Q2 fiscal 2015 issuer release - May 19 2015 at 4:00 PM EDT,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-824BABBAD988A068,2012-01-25T16:18:00-05:00,https://www.prnewswire.com/news/symmetricom%2C-inc./?page=4,OFFICIAL_PUBLIC_NEWSWIRE,Symmetricom PR Newswire archive - Jan 25 2012 04:18 ET cross-checked against 1:30 PM PT earnings call,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-99CCB9D9BECE4E72,2012-01-27T07:00:00-05:00,https://www.prnewswire.com/news/idexx-laboratories%2C-inc./?page=10,OFFICIAL_PUBLIC_NEWSWIRE,IDEXX PR Newswire archive - Jan 27 2012 07:00 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-89844B5980EB5339,2012-01-25T16:30:00-05:00,https://www.prnewswire.com/news/astoria-financial-corporation/?page=4,OFFICIAL_PUBLIC_NEWSWIRE,Astoria Financial PR Newswire archive - Jan 25 2012 04:30 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-56483839E5F0E88F,2012-01-26T08:50:00-05:00,https://www.prnewswire.com/news-releases/nvr-inc-announces-fourth-quarter-and-full-year-results-138117398.html,OFFICIAL_PUBLIC_NEWSWIRE,NVR PR Newswire release - Jan 26 2012 08:50 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-2558DC6865781793,2013-04-23T16:05:00-04:00,https://www.globenewswire.com/news-release/2013/04/23/1278115/0/en/Juniper-Networks-Reports-Preliminary-First-Quarter-2013-Financial-Results.html,OFFICIAL_PUBLIC_NEWSWIRE,Juniper Networks Marketwired release archived by GlobeNewswire - Apr 23 2013 16:05 ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-2C887DA6F617936F,2013-09-19T16:05:00-04:00,https://www.sec.gov/files/litigation/complaints/2015/comp-pr2015-163.pdf,OFFICIAL_PUBLIC_NEWSWIRE,SEC complaint documents Newswire Service 1 public dissemination of TIBCO 3Q earnings release at 4:05 PM ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-ED329F780A1085DA,2013-04-23T16:01:00-04:00,https://www.sec.gov/files/litigation/complaints/2015/comp-pr2015-163.pdf,OFFICIAL_PUBLIC_NEWSWIRE,SEC complaint documents Newswire Service 1 public dissemination of Edwards Lifesciences earnings release at 4:01 PM ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
HEJFE-830337A8564B826E,2013-10-17T16:00:00-04:00,https://www.sec.gov/files/litigation/complaints/2015/comp-pr2015-163.pdf,OFFICIAL_PUBLIC_NEWSWIRE,SEC complaint documents Newswire Service 1 public dissemination of Align Technology 3Q earnings release at 4:00 PM ET,true,PUBLIC_OR_AUTHORIZED_HISTORICAL
