interval_id,symbol,primary_exchange,valid_from,valid_through,start_evidence_url,end_evidence_url,source_name,data_class
listing-interval:JNPR:2011-2013,JNPR,NYSE,2011-03-21,2013-10-22,https://www.sec.gov/Archives/edgar/data/1043604/000144530511000332/juniper10k123110.htm,https://www.sec.gov/Archives/edgar/data/1043604/000104360414000038/jnpr-10k20131231.htm,SEC annual reports bracket Juniper Networks New York Stock Exchange listing interval following documented 2009 transfer,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:VMW:2011-2013,VMW,NYSE,2011-03-21,2013-10-21,https://www.sec.gov/Archives/edgar/data/1124610/000119312511050075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461014000008/vmw-12312013x10k.htm,SEC annual reports bracket VMware Class A common stock New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CA:2011-2012,CA,NASDAQ,2011-06-20,2012-01-24,https://www.sec.gov/Archives/edgar/data/356028/000095012311050920/y89470e10vk.htm,https://www.sec.gov/Archives/edgar/data/356028/000119312512228559/d304418d10k.htm,SEC annual reports bracket CA Technologies Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:DGI:2012-2015,DGI,NYSE,2012-06-29,2015-02-26,https://www.sec.gov/Archives/edgar/data/1208208/000119312512089204/d260857d10k.htm,https://www.sec.gov/Archives/edgar/data/1208208/000155837015000193/dgi-20141231x10k.htm,SEC annual reports bracket DigitalGlobe New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:PNRA:2013-2015,PNRA,NASDAQ,2013-03-22,2015-02-11,https://www.sec.gov/Archives/edgar/data/724606/000072460613000009/a2012122510k.htm,https://www.sec.gov/Archives/edgar/data/724606/000072460615000004/a2014123010k.htm,SEC annual reports bracket Panera Bread Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CGNX:2015H1,CGNX,NASDAQ,2015-01-13,2015-05-04,https://www.sec.gov/Archives/edgar/data/851205/000085120515000003/cgnx-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120516000027/cgnx-20151231x10xk.htm,SEC annual reports bracket Cognex NASDAQ Stock Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:ILMN:2014-2015,ILMN,NASDAQ,2014-12-23,2015-04-21,https://www.sec.gov/Archives/edgar/data/1110803/000111080315000064/fy1410-k.htm,https://www.sec.gov/Archives/edgar/data/1110803/000111080316000175/fy201510-k.htm,SEC annual reports bracket Illumina NASDAQ Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:MDU:2014-2015,MDU,NYSE,2014-12-31,2015-05-04,https://www.sec.gov/Archives/edgar/data/67716/000006771615000027/mdu-12312014form10xk.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771617000017/a2016form10-k.htm,SEC annual reports bracket MDU Resources New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:COLM:2015H1,COLM,NASDAQ,2015-01-13,2015-04-30,https://www.sec.gov/Archives/edgar/data/1050797/000105079715000002/colm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1050797/000105079716000020/colm-20151231x10k.htm,SEC annual reports bracket Columbia Sportswear Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CREE:2014Q4-2015H1,CREE,NASDAQ,2014-12-16,2015-04-21,https://www.sec.gov/Archives/edgar/data/895419/000089541914000045/cree-06292014x10k.htm,https://www.sec.gov/Archives/edgar/data/895419/000089541915000058/cree-06282015x10k.htm,SEC annual reports bracket Cree Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:EHTH:2011-2013,EHTH,NASDAQ,2011-03-25,2013-04-25,https://www.sec.gov/Archives/edgar/data/1333493/000119312511067102/d10k.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349314000029/ehth-20131231x10k.htm,SEC annual reports bracket eHealth Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:IDTI:2014Q4-2015H1,IDTI,NASDAQ,2014-12-31,2015-05-04,https://www.sec.gov/Archives/edgar/data/703361/000070336114000019/idti-3302014x10k.htm,https://www.sec.gov/Archives/edgar/data/703361/000162828015004322/idti-3292015x10k.htm,SEC annual reports bracket Integrated Device Technology Nasdaq Global Select Market listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CLD:2015H1,CLD,NYSE,2015-01-15,2015-04-30,https://www.sec.gov/Archives/edgar/data/1441849/000110465914009852/a13-27225_110k.htm,https://www.sec.gov/Archives/edgar/data/1441849/000110465916097811/a15-23313_110k.htm,SEC annual reports bracket Cloud Peak Energy New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:EW:2011-2013,EW,NYSE,2011-03-22,2013-04-23,https://www.sec.gov/Archives/edgar/data/1099800/000104746911001550/a2202139z10-k.htm,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/a2218406z10-k.htm,SEC annual reports bracket Edwards Lifesciences New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:MTH:2013H1,MTH,NYSE,2013-03-22,2013-07-23,https://www.sec.gov/Archives/edgar/data/833079/000083307913000051/a10k.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307914000047/mth-2013_10k.htm,SEC annual reports bracket Meritage Homes New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:MUSA:2011-2012,MUSA,NYSE,2011-09-21,2012-01-26,https://www.sec.gov/Archives/edgar/data/1362491/000119312511068751/d10k.htm,https://www.sec.gov/Archives/edgar/data/1362491/000119312512114921/d257864d10k.htm,SEC annual reports bracket Metals USA New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:BCR:2014Q4-2015Q1,BCR,NYSE,2014-10-22,2015-01-29,https://www.sec.gov/Archives/edgar/data/9892/000119312514378763/d809385dex991.htm,https://www.sec.gov/Archives/edgar/data/9892/000119312515025545/d863482dex991.htm,SEC-hosted C. R. Bard issuer releases bracket BCR New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:BIO:2013Q1-Q2,BIO,NYSE,2013-02-26,2013-05-07,https://www.sec.gov/Archives/edgar/data/12208/000001220813000004/bio-8k2262013xex991.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220813000012/bio-8k572013xex991.htm,SEC-hosted Bio-Rad issuer releases bracket BIO New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:BRKR:2015Q1-Q2,BRKR,NASDAQ,2015-02-19,2015-05-06,https://www.sec.gov/Archives/edgar/data/1109354/000110465915012085/a15-4972_1ex99d1.htm,https://www.sec.gov/Archives/edgar/data/1109354/000110465915034867/a15-10964_1ex99d1.htm,SEC-hosted Bruker issuer releases bracket BRKR Nasdaq listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:BWA:2011Q2-Q3,BWA,NYSE,2011-06-27,2011-07-27,https://www.sec.gov/Archives/edgar/data/908255/000095012311011507/c61332e10vk.htm,https://www.sec.gov/Archives/edgar/data/908255/000090825512000008/a10k12312011.htm,SEC annual reports bracket BorgWarner New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CACI:2015Q2,CACI,NYSE,2015-03-30,2015-04-29,https://www.sec.gov/Archives/edgar/data/16058/000119312514325463/d776116d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459015007527/caci-10k_20150630.htm,SEC annual reports bracket CACI International New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
listing-interval:CAG:2015Q1,CAG,NYSE,2015-02-24,2015-03-25,https://www.sec.gov/Archives/edgar/data/23217/000002321714000009/cag-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/23217/000162828015005333/cag-2015x10k.htm,SEC annual reports bracket ConAgra Foods New York Stock Exchange listing interval,PUBLIC_OR_AUTHORIZED_HISTORICAL
