batch_id,batch_position,event_id,symbol,trade_date,review_status,resolution_timestamp,evidence_url,reason
G1-BATCH-001,21,HEJFE-1950A4340036BB95,FL,2011-08-18,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_NEXT_DAY_CALL_TIME_ONLY
G1-BATCH-001,22,HEJFE-B704E62641681A73,GT,2011-07-27,UNRESOLVED_AFTER_REVIEW,,,BEFORE_MARKET_WINDOW_OR_CALL_TIME_ONLY_NOT_EXACT_TIMESTAMP
G1-BATCH-001,23,HEJFE-95933AA0B84D2F60,CAT,2012-01-25,RESOLVED_EXACT_PUBLIC_TIME,2012-01-26T07:30:00-05:00,https://www.prnewswire.com/news/caterpillar-inc./?page=23&pagesize=25,PR_NEWSWIRE_EXPLICIT_07_30_ET
G1-BATCH-001,24,HEJFE-A9D220DE2F7E7FC3,DE,2015-02-19,RESOLVED_EXACT_PUBLIC_TIME,2015-02-20T07:00:00-05:00,https://www.prnewswire.com/news/deere-%26-company/?page=8,PR_NEWSWIRE_EXPLICIT_07_00_ET
G1-BATCH-001,25,HEJFE-45E6DA32B37F83D4,BA,2012-01-24,UNRESOLVED_AFTER_REVIEW,,,DATE_ONLY_PUBLIC_RELEASE_EVIDENCE
G1-BATCH-001,26,HEJFE-E1B57B6A71B06A7F,CR,2015-04-27,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,27,HEJFE-B9C8B3D0EF3DCB5E,CACI,2015-04-29,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,28,HEJFE-ED8CFC03F1053B9A,CAMP,2013-04-25,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,29,HEJFE-B5A8A297D14CD19D,TXT,2015-04-27,UNRESOLVED_AFTER_REVIEW,,,DATE_OR_CALL_TIME_ONLY_NOT_FIRST_PUBLIC_TIMESTAMP
G1-BATCH-001,30,HEJFE-6101FFEDBA6EE41B,MDU,2015-02-02,UNRESOLVED_AFTER_REVIEW,,,NO_EXACT_FIRST_PUBLIC_TIMESTAMP_CONFIRMED
